,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,0.7,1.6,1.15,2.6,0.7,1.65,2.6,3.6,3.1,1.9666666666666668,3,0,1.5,3.2,2.7,1.3,1.4,2.2,1.9,5,5,0,0,0,0,0,0,0,0,0,0,2,2,1,3
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,0.7,1.6,1.15,2.6,0.7,1.65,2.6,3.6,3.1,1.9666666666666668,3,0,1.5,3.2,2.7,1.3,1.4,2.2,1.9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,3.6,3.2,3.4000000000000004,4.4,1.8,3.1,4.5,3.9,4.2,3.5666666666666664,5,3.8,4.4,3.8,4.2,3.4,4.8,4.1,4,4,4,1,3,1,3,4,0,2,2,3,1,3,5,4,4
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,0.7,0.4,0.55,0.8,0.4,0.6000000000000001,1.9,2.4,2.15,1.0999999999999999,3,0,1.5,1.7,1.4,0.3,0.3,0.9,1.2,3,3,0,0,0,0,0,0,2,2,0,2,2,3,2,2.5
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,4.4,4.7,3.7,3.6,3.4,4.3,3.8,3.8,4,4,1,3,2,2,4,0,2,2,3,1,3,5,4,4
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,4.4,4.7,3.7,3.6,3.4,4.3,3.8,3.8,3,3,0,2,0,2,2,0,3,3,2,1,3,4,3,3
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,4.4,4.7,3.7,3.6,3.4,4.3,3.8,3.8,4,4,1,2,2,2,3,0,3,3,3,1,3,5,4,4
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.2,3.2,3.2,4.3,0,2.15,3.8,2.7,3.25,2.8666666666666667,5,4.4,4.7,3.7,3.6,3.4,4.3,3.8,3.8,3,3,0,0,0,2,2,0,0,0,0,1,3,3,2,2.5
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,3.9,3.2,3.55,4.7,5,4.85,4.4,2.1,3.25,3.883333333333333,5,4.8,4.9,4,4.3,3.6,4.1,4,4.3,4,4,0,3,2,3,4,0,2,2,3,2,3,5,4,4
Complex crisis in Congo,Conflict,COG001,Congo,COG,1.4,3.3,2.3499999999999996,4.4,5,4.7,3.9,3,3.45,3.5,1,0,0.5,3.9,3.6,3.8,4.2,3.9,2.6,3,3,0,0,0,0,0,0,0,0,0,0,3,3,1,2
