,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.5,1.0057752110173257,5,4.75,4.5,0.8084965034965035,4,4.25,4.5,3.4,0.14617480430739957,0.7,2.05,4.8,0.6810650887573965,5,4.9,4.4,0.00034497041420118344,5,4.7,4.8,3.8
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07301093693808043,0.3,1.45,2.4,0.18108391608391608,0.9,1.65,1.6,2.6,0.22880865031859432,1.1,1.85,4.1,0.6759493670886076,5,4.6,3.9,0.00046413502109704643,5,4.5,4.6,3.6
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.18620084195384062,0.8,2,3.7,0.44272727272727275,2.2,2.95,2.5,2.9,0.1437371663244353,0.7,1.7999999999999998,4.4,0.6368131868131868,5,4.7,4,0.0003318681318681319,5,4.5,4.6,3.5
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.4,0.18468531468531468,0.9,1.65,2.5,1.8,0.07118515713744794,0.3,1.05,3.6,0.9095744680851063,5,4.3,1.5,3.1914893617021275e-05,1.6,1.6,3.2,2.3
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.8,0.22359154929577466,1.1,2.95,5,0.44598425196850394,5,5,4.8,9.110236220472441e-05,4.6,4.7,4.9,4.1
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1.0014641288433381,5,4.6,2.6,1,5,3.8,4.2,2,0.08793969849246232,0.4,1.2,3.4,0.44,5,4.2,0,1.9047619047619047e-06,0.1,0.1,2.7,2
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.7,0.3828462998102467,1.9,3.3,5,0.34308088818398097,5,5,4.1,3.979976209357653e-05,2,3.1,4.3,3.9
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,5,0.5883301707779887,2.9,3.95,2.9,4.5,0.4830188679245283,2.4,3.45,5,0.25707799145299143,5,5,0.9,2.670940170940171e-07,0,0.5,3.6,3.5
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01964355660007834,0,0,1.3,0.4702609363008442,2.3,1.7999999999999998,1,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,2.9,0.000425531914893617,5,4,4.1,2.9
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,1.0000025911166157,5,4.05,3.5,1,5,4.25,4.2,1.8,0.03359594313139545,0.1,0.9500000000000001,3.7,1,5,4.4,0,0,0,0,2.8,2
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6692047377326565,3.3,2.8,2.2,0.040455120101137804,1.3,1.8,2.3,5.436156763590392e-05,2.7,2.5,2.2,2.5
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.047337278106508875,0.2,0.1,2.2,1,5,3.6,2.3,0.00134375,5,3.7,3.7,2.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6429780033840947,3.2,2.75,0,0,0,0,0,0,0,0,0,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1.0163893038227683,5,3.9,3.5,1,5,4.25,4.1,1,0.011042835515183898,0,0.5,3,1,5,4,x,x,x,x,4,2.7
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005565506653019447,0,0.75,3.5,1,5,4.3,4.3,0.00393103448275862,5,4.7,4.5,3.1
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004755203002388264,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,1.6,7.471264367816091e-05,3.7,2.7,3.5,3.1
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.9,0.009275844421699079,0,0.95,3.8,1,5,4.4,4.3,0.0024160919540229886,5,4.7,4.6,3.3
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.058614330874604846,2,2.9,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2.3,0.0062165517831913346,0,1.15,4.1,1,5,4.6,1.3,1.1019283746556474e-05,0.6,1,3.3,2.4
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.2934115764203788,1.4,2,4,0.6118181818181818,5,4.5,0,0,0,0,2.9,2.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.7,0.0018541666666666667,0,0.35,2.8,1,5,3.9,3.1,0.001752808988764045,5,4.1,4,2.6
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.1,0.025289017341040464,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.001208341909811,5,5,5,1,5,5,5,5,1,5,5,5,0.04190536572847557,1.4,3.2,5,4.0667527115458645e-05,2,3.5,3.4,4.4
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,0.729298281366755,3.6,4.3,4.7,2.5,0.011011756913396257,0,1.25,4.3,1,5,4.7,x,x,x,x,4.7,3.5
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.2689488913992408,1.3,2.6999999999999997,5,0.23133241250217,1.1,3.05,2.9,5,1,5,5,4.9,0.09302097947730759,3.1,4,5,0.00011269535710789911,5,5,4.6,4.8
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,5,0.8866750377224726,4.4,4.7,5,0.7142026885250851,3.6,4.3,4.5,5,1,5,5,4.1,0.008338265133581333,0.3,2.2,2,2.536354413256679e-07,0,1,1.6,3.8
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.06233816054473962,0.3,0.15,0.6,1.3,0.2876923076923077,1.4,1.35,3.2,1,5,4.1,1,2.67379679144385e-05,1.3,1.2,3,2.3
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.2,0.56,2.8,3.5,3.4,0.024553571428571428,0.8,2.1,2.7,7.91396103896104e-06,0.4,1.6,1.9,2.8
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.7,0.5677783478707029,2.8,3.25,1.4,0.0018073377914332189,0.1,0.8,3.4,4.0665100307247423e-05,2,2.7,1.9,2.6
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.6,1,5,4.3,4,4.1,0.74,3.7,3.9,3.9,0.06675906675906676,2.2,3.1,3.7,4.342804342804343e-05,2.2,3,3.1,3.5
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.0063884595569294175,0,0.25,2.6,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,4.4,0.21780814353925157,1,2.7,2.5,0.020312777614608375,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.01785076758300607,0.6,1.8,2.4,8.925383791503035e-06,0.4,1.4,1.6,3.3
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.27639461084511746,1.3,2.9499999999999997,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9885287331062521,4.9,4.95,4.7,4,0.16617388791321167,0.8,2.4,5,0.8379933110367893,5,5,3.7,5.6187290969899666e-05,2.8,3.3,4.3,3.5
